iran ahmad morshedloo s images of people global voices.	ايران احمد مورشيدلو وتصويره للناس الاصوات العالمية
surprising mothers is a trend at least for some soldiers this soldier gives his mother the best present she could ever receive on her birthday.	وقد اصبحت مفاجاة الامهات عادة عند بعض الجنود ويظهر في المقطع التالي جندي يخرج لامه احسن هدية يمكنها ان تراها في حياتها بمناسبة عيد ميلادها
south korea activist indicted for retweeting north korean messages global voices.	كوريا الجنوبية ناشط يتهم بعمل ريتويت لتغريدات من كوريا الشمالية الاصوات العالمية
There are a lot of things you don't know about my personality.	هناك الكثير من الأمور التي لا تعرفها عن شخصيتي.
I want some money.	أريد بعض المال.
Do not accept the world as it is.	لا تقبل بالعالم كما هو.
tunisian independent media outlet nawaat continues to undergo cyberattacks a few messages on twitter announced fr that nawaat org was sufferring a sustained denial of service ddos attack on oct a message on the blog boukornine facebook page fr attributes this cyberaggression to a leak to be published and defines it as ben ali s bully boy tactics.	ويستمر تعرض الموقع التونسي المستقل نواة للهجمات الالكترونية حيث نشر الموقع تغريدات ان الموقع يعاني من هجمات الحرمان من الخدمة في اكتوبر تشرين الاول تربط صفحة مدونة على فيسبوك هذه الهجمات لتسريبات نشرها الموقع واطلق الموقع على هذه الهجمات بانها طريقة بلطجية الرييس الهارب بن علي
Who painted this painting?	من رسم هذه اللوحة؟
I'll go and have another look.	سأذهب وألقي نظرة أخرى.
Is Tom happy?	هل توم سعيد؟
an illustration demanding police to take their hands off shuhrat qudratov was widely shared.	لافتة تطالب الشرطة برفع ايديها عن سهوهرات كدرتوف تداولتها وسايل التواصل الاجتماعي تداولا واسعا
You'll never be alone.	لن تصير وحيداً أبداً .
He shot at me.	أطلق عليّ الرّصاص.
in venezuela janeth rodriguez manages a blog dedicated entirely to colonial art in venezuela and its different expressive modes the sources of her posts are various academic pieces the principal motivation being to gather celebrate and bring to people s attention the preservation of these pieces.	في فنزويلا تدير جانيت رودريجز مدونة تلتزم كلية الفن الاستعماري في فنزويلا وطرق تعبيرها المختلفة مصادر المقالات هي عبارة عن قطع اكاديمية مختلفة الدافع الرييسي من ذلك هو الاحتفال بهم وجمعهم وتقديمهم لانتباه الناس والحفاظ على هذه القطع
i block you too photo by ateneinrivolta on flickr cc by nd.	انا اعيق الطريق انت ايضا؟ الصورة من اتنيريفولتا على فليكر تحت رخصة المشاع الابداعي
His illness may be cancer.	قد يكون مرضها السرطان.
forget politics obama or the economic crisis the new buzz in the syrian blogosphere is about love.	انسوا السياسة واوباما والازمة الاقتصادية ان الحركة الجديدة في فضاء التدوين السوري هي عن الحب
